선수명,상성전 승,상성전 패,역상성전 승,역상성전 패,동족전 승,동족전 패,win,lose,총 경기수,winning_rate
이영호T,221,90,188,75,192,75,601,240,841,0.715
이제동Z,187,83,229,138,201,84,617,305,922,0.669
김택용P,203,114,215,100,148,83,566,297,863,0.656
최연성T,127,54,102,58,112,72,341,184,525,0.65
정명훈T,114,70,106,59,93,58,313,187,500,0.626
송병구P,216,108,189,135,168,113,573,356,929,0.617
이윤열T,302,179,215,151,196,124,713,454,1167,0.611
김정우Z,84,51,105,63,85,61,274,175,449,0.61
전상욱T,146,81,119,87,115,93,380,261,641,0.593
조병세T,70,51,52,39,66,40,188,130,318,0.591
김민철Z,91,48,97,68,73,67,261,183,444,0.588
마재윤Z,130,70,148,123,93,67,371,260,631,0.588
박찬수Z,84,59,88,71,75,43,247,173,420,0.588
서지훈T,167,114,111,88,132,90,410,292,702,0.584
임요환T,279,152,168,149,153,129,600,430,1030,0.583
강민P,156,102,135,117,81,49,372,268,640,0.581
이병민T,86,53,56,52,94,66,236,171,407,0.58
염보성T,139,98,133,106,129,88,401,292,693,0.579
신동원Z,50,28,45,44,74,52,169,124,293,0.577
홍진호Z,169,107,236,193,125,94,530,394,924,0.574
이재호T,185,105,115,118,114,88,414,311,725,0.571
허영무P,119,82,108,99,91,59,318,240,558,0.57
박성준Z,198,103,200,195,140,110,538,408,946,0.569
신상문T,111,70,73,73,94,68,278,211,489,0.569
구성훈T,105,75,111,75,93,86,309,236,545,0.567
박지수T,77,39,71,65,75,67,223,171,394,0.566
이신형T,50,31,41,32,29,29,120,92,212,0.566
나도현T,136,74,64,72,72,64,272,210,482,0.564
김정민T,170,112,86,80,86,74,342,266,608,0.563
박태민Z,95,67,140,125,127,90,362,282,644,0.562
전태양T,95,55,54,58,62,52,211,165,376,0.561
김명운Z,111,74,99,81,142,120,352,275,627,0.561
변길섭T,171,103,67,53,74,89,312,245,557,0.56
진영수T,146,90,51,57,90,79,287,226,513,0.559
원종서T,72,30,32,45,28,29,132,104,236,0.559
한웅렬T,65,63,52,33,46,33,163,129,292,0.558
박명수Z,68,63,109,69,74,68,251,200,451,0.557
이승석Z,55,26,38,52,63,46,156,124,280,0.557
도재욱P,137,78,91,95,74,68,302,241,543,0.556
김재춘Z,43,26,55,46,39,38,137,110,247,0.555
김준영Z,71,43,82,73,58,53,211,169,380,0.555
장윤철P,67,37,73,85,63,41,203,163,366,0.555
김대엽P,61,37,55,60,50,36,166,133,299,0.555
김윤환Z,104,65,96,91,105,89,305,245,550,0.555
김구현P,111,87,120,94,88,76,319,257,576,0.554
변은종Z,68,53,79,76,100,70,247,199,446,0.554
변형태T,112,89,98,84,98,75,308,248,556,0.554
김창희T,70,40,36,46,45,36,151,122,273,0.553
조용호Z,84,41,129,137,118,91,331,269,600,0.552
박지호P,131,91,95,93,76,61,302,245,547,0.552
박경락Z,88,43,110,111,78,70,276,224,500,0.552
한상봉Z,49,45,69,56,61,44,179,145,324,0.552
안상원T,51,43,33,28,45,34,129,105,234,0.551
김성제T,114,80,106,105,55,39,275,224,499,0.551
정윤종P,47,38,45,43,34,22,126,103,229,0.55
김동수P,45,43,59,48,23,13,127,104,231,0.55
우정호P,49,37,50,42,33,29,132,108,240,0.55
베르트랑T,72,58,43,37,41,34,156,129,285,0.547
김윤환T,64,50,44,31,25,30,133,111,244,0.545
고인규T,95,65,56,55,64,60,215,180,395,0.544
강도경Z,77,43,81,104,102,72,260,219,479,0.543
윤용태P,136,116,126,99,90,84,352,299,651,0.541
박성균T,116,79,106,94,96,98,318,271,589,0.54
박재혁Z,74,40,67,78,53,48,194,166,360,0.539
신노열Z,64,46,60,50,51,54,175,150,325,0.538
김성현T,44,38,48,60,55,28,147,126,273,0.538
박용욱P,97,75,86,81,56,50,239,206,445,0.537
이경민P,56,50,30,44,61,33,147,127,274,0.536
김성기T,61,39,45,38,27,38,133,115,248,0.536
이영한Z,63,52,75,82,55,34,193,168,361,0.535
김근백Z,57,38,44,50,68,59,169,147,316,0.535
조일장Z,118,66,80,101,60,58,258,225,483,0.534
박수범P,66,49,50,50,35,34,151,133,284,0.532
배병우Z,50,36,41,38,24,27,115,101,216,0.532
최호선T,48,44,47,48,40,27,135,119,254,0.531
이학주T,63,45,47,49,37,38,147,132,279,0.527
박준오Z,69,48,60,78,68,51,197,177,374,0.527
김윤중P,107,92,59,56,47,43,213,191,404,0.527
심소명Z,39,21,49,58,48,44,136,123,259,0.525
최인규T,121,112,82,70,70,65,273,247,520,0.525
박정석P,169,153,202,194,83,66,454,413,867,0.524
차명환Z,66,50,52,56,59,56,177,162,339,0.522
박종수P,73,46,54,54,22,37,149,137,286,0.521
오영종P,110,88,101,103,63,61,274,252,526,0.521
박신영Z,31,23,52,47,47,50,130,120,250,0.52
기욤패트리P,71,71,93,85,43,35,207,191,398,0.52
윤종민Z,47,26,37,50,28,28,112,104,216,0.519
이재항Z,65,55,54,60,56,47,175,162,337,0.519
조형근Z,30,16,54,56,29,33,113,105,218,0.518
이성은T,82,67,68,81,80,66,230,214,444,0.518
주진철Z,59,46,76,82,67,60,202,188,390,0.518
진영화P,74,68,81,72,42,45,197,185,382,0.516
이재훈P,127,108,115,118,46,45,288,271,559,0.515
김성대Z,66,59,71,68,60,59,197,186,383,0.514
변현제P,38,37,52,47,20,20,110,104,214,0.514
박정길P,62,52,61,46,10,28,133,126,259,0.514
고강민Z,64,36,34,62,39,32,137,130,267,0.513
박재영P,44,41,47,42,17,20,108,103,211,0.512
신희승T,47,53,45,43,60,49,152,145,297,0.512
박상우T,55,63,67,60,67,58,189,181,370,0.511
서기수P,67,58,76,75,29,32,172,165,337,0.51
김동건T,77,60,56,58,40,48,173,166,339,0.51
손주흥T,67,49,35,39,35,44,137,132,269,0.509
장진수Z,52,31,48,59,50,55,150,145,295,0.508
김환중P,62,72,87,79,36,29,185,180,365,0.507
이주영Z,74,55,53,62,55,61,182,178,360,0.506
박영민P,96,81,81,90,56,57,233,228,461,0.505
한동욱T,111,69,43,68,58,72,212,209,421,0.504
박세정P,62,48,60,64,38,46,160,158,318,0.503
임성춘P,70,61,69,82,25,19,164,162,326,0.503
김재훈P,66,54,56,56,40,50,162,160,322,0.503
김현우Z,37,31,26,42,41,30,104,103,207,0.502
김동현Z,69,47,63,56,32,61,164,164,328,0.5
나경보Z,37,35,57,55,43,48,137,138,275,0.498
성학승Z,77,68,99,119,88,80,264,267,531,0.497
김상욱Z,53,40,47,56,29,35,129,131,260,0.496
정영주Z,28,26,50,57,46,43,124,126,250,0.496
박성훈P,57,50,69,66,22,35,148,151,299,0.495
한승엽T,83,56,45,64,35,46,163,166,329,0.495
전태규P,131,110,112,120,38,58,281,288,569,0.494
고석현Z,63,43,66,85,48,54,177,182,359,0.493
임정현Z,40,38,26,40,42,34,108,112,220,0.491
김승현P,63,49,38,65,43,39,144,153,297,0.485
안기효P,94,78,67,87,33,41,194,206,400,0.485
신정민Z,43,36,52,55,30,42,125,133,258,0.484
서경종Z,42,51,64,61,45,49,151,161,312,0.484
이운재T,66,65,31,37,20,23,117,125,242,0.483
조정현T,81,68,38,43,26,44,145,155,300,0.483
손찬웅P,51,44,39,53,26,28,116,125,241,0.481
최우범T,89,83,46,52,32,47,167,182,349,0.479
임진묵T,69,48,33,53,24,36,126,137,263,0.479
차재욱T,109,94,27,60,58,58,194,212,406,0.478
신대근Z,43,37,50,53,50,67,143,157,300,0.477
김경모Z,48,41,53,55,26,43,127,139,266,0.477
김남기Z,59,56,29,51,31,24,119,131,250,0.476
조병호P,30,28,54,63,11,15,95,106,201,0.473
장진남Z,59,59,65,98,58,47,182,204,386,0.472
유준희Z,43,36,25,36,26,35,94,107,201,0.468
주영달Z,55,43,35,73,40,33,130,149,279,0.466
김민구Z,30,33,31,50,36,28,97,111,208,0.466
민찬기T,69,49,33,48,26,50,128,147,275,0.465
박상익Z,48,32,49,81,50,56,147,169,316,0.465
송병석P,37,44,48,59,19,17,104,120,224,0.464
이현승R,103,100,15,36,12,15,130,151,281,0.463
신상호P,43,36,34,57,27,28,104,121,225,0.462
김현진T,77,72,36,46,24,44,137,162,299,0.458
김정환Z,26,27,51,67,24,26,101,120,221,0.457
어윤수Z,36,32,35,48,21,32,92,112,204,0.451
박대만P,51,58,41,62,23,22,115,142,257,0.447
김태균P,46,49,30,35,18,33,94,117,211,0.445
이창훈Z,45,45,50,64,36,59,131,168,299,0.438
도진광T,58,74,26,40,10,12,94,126,220,0.427
